config,comp,label,cell_floor,case,reference,complete_patients,eligible
unc20_pooled,AT2,__broad__,50,AAH,normal,8,True
unc20_pooled,AT2,__broad__,50,AIS,normal,12,True
unc20_pooled,AT2,__broad__,50,MIA,normal,4,True
unc20_pooled,AT2,__broad__,50,LUAD,normal,23,True
unc20_pooled,AT2,__broad__,50,LUAD,AAH,8,True
unc20_pooled,AT2,__broad__,50,LUAD,AIS,12,True
unc20_pooled,AT2,__broad__,50,LUAD,MIA,4,True
unc20_pooled,fibroblasts,__broad__,50,AAH,normal,8,True
unc20_pooled,fibroblasts,__broad__,50,AIS,normal,11,True
unc20_pooled,fibroblasts,__broad__,50,MIA,normal,4,True
unc20_pooled,fibroblasts,__broad__,50,LUAD,normal,22,True
unc20_pooled,fibroblasts,__broad__,50,LUAD,AAH,8,True
unc20_pooled,fibroblasts,__broad__,50,LUAD,AIS,11,True
unc20_pooled,fibroblasts,__broad__,50,LUAD,MIA,4,True
unc20_pooled,macrophages,__broad__,50,AAH,normal,5,True
unc20_pooled,macrophages,__broad__,50,AIS,normal,5,True
unc20_pooled,macrophages,__broad__,50,MIA,normal,1,False
unc20_pooled,macrophages,__broad__,50,LUAD,normal,12,True
unc20_pooled,macrophages,__broad__,50,LUAD,AAH,8,True
unc20_pooled,macrophages,__broad__,50,LUAD,AIS,7,True
unc20_pooled,macrophages,__broad__,50,LUAD,MIA,3,True
