ligand,receptor,assayed,missing_genes
AREG,EGFR,True,
AREG,ERBB2,True,
AREG,ERBB3,True,
AREG,MMP9,True,
CCL2,CCR2,True,
CCL2,CCR3,True,
CCL2,CCR5,True,
CCL2,CCR4,True,
CCL2,ACKR1,True,
CCL2,ACKR2,True,
CCL2,CCR1,True,
CCL2,CCR10,True,
CCL2,ACKR4,True,
CXCL1,CXCR2,True,
CXCL1,ACKR1,True,
CXCL1,CXCR1,True,
CXCL12,ACKR3,True,
CXCL12,CXCR3,True,
CXCL12,CXCR4,True,
CXCL12,ITGB1,True,
CXCL12,CD4,True,
CXCL12,DPP4,True,
CXCL2,CXCR2,True,
CXCL2,ACKR1,True,
CXCL2,CXCR1,True,
CXCL2,XCR1,True,
CXCL2,DPP4,True,
FGF10,FGFR3,True,
FGF10,FGFR4,True,
FGF10,FGFR2,True,
FGF10,FGFRL1,True,
FGF10,FGFR1,True,
FGF7,FGFR2,True,
FGF7,FGFR4,True,
FGF7,FGFR1,True,
FGF7,FGFR3,True,
FGF7,NRP1,True,
HBEGF,MOG,True,
HBEGF,CD6,True,
HBEGF,EGFR,True,
HBEGF,ERBB4,True,
HBEGF,CD44,True,
HBEGF,CD9,True,
HBEGF,ERBB2,True,
HBEGF,CD82,True,
IL1A,IL1R1_IL1RAP,True,
IL1B,IL1R1_IL1RAP,True,
TGFB1,TGFBR1_TGFBR2,True,
VEGFA,FLT1,True,
VEGFA,KDR,True,
VEGFA,NRP1,True,
VEGFA,NRP2,True,
VEGFA,GPC1,True,
WNT1,LRP6,True,
WNT1,RYK,True,
WNT1,LRP5,True,
WNT1,FZD8,True,
WNT1,FZD3,True,
WNT1,FZD1,True,
WNT1,ROR2,True,
WNT1,FZD9,True,
WNT10A,LRP6,True,
WNT10A,LRP5,True,
WNT10A,FZD3,True,
WNT10A,FZD1,True,
WNT10A,FZD5,True,
WNT10A,FZD8,True,
WNT10A,FZD10,True,
WNT10A,FZD2,True,
WNT10A,FZD4,True,
WNT10A,FZD6,True,
WNT10A,FZD7,True,
WNT10A,FZD9,True,
WNT10B,FZD5,True,
WNT10B,LRP5,True,
WNT10B,LRP6,True,
WNT10B,FZD2,True,
WNT10B,FZD3,True,
WNT10B,FZD1,True,
WNT10B,FZD7,True,
WNT10B,FZD10,True,
WNT10B,FZD4,True,
WNT10B,FZD6,True,
WNT10B,FZD8,True,
WNT10B,FZD9,True,
WNT11,MUSK,True,
WNT11,FZD6,True,
WNT11,FZD7,True,
WNT11,LRP6,True,
WNT11,FZD3,True,
WNT11,KLRG2,True,
WNT11,FZD8,True,
WNT16,FZD3,True,
WNT16,LRP6,True,
WNT16,FZD6,True,
WNT16,FZD2,True,
WNT16,LRP5,True,
WNT16,FZD1,True,
WNT16,FZD10,True,
WNT16,FZD4,True,
WNT16,FZD5,True,
WNT16,FZD7,True,
WNT16,FZD8,True,
WNT16,FZD9,True,
WNT2,FZD9,True,
WNT2,LRP5,True,
WNT2,LRP6,True,
WNT2,FZD1,True,
WNT2,FZD4,True,
WNT2,FZD7,True,
WNT2,FZD3,True,
WNT2,FZD8,True,
WNT2,FZD5,True,
WNT2,FZD2,True,
WNT2B,LRP5,True,
WNT2B,FZD3,True,
WNT2B,FZD4,True,
WNT2B,FZD7,True,
WNT2B,LRP6,True,
WNT2B,FZD1,True,
WNT2B,FZD10,True,
WNT2B,FZD2,True,
WNT2B,FZD5,True,
WNT2B,FZD6,True,
WNT2B,FZD8,True,
WNT2B,FZD9,True,
WNT3,LRP6,True,
WNT3,RYK,True,
WNT3,ROR2,True,
WNT3,FZD1,True,
WNT3,FZD7,True,
WNT3,FZD8,True,
WNT3A,RYK,True,
WNT3A,FZD6,True,
WNT3A,LRP5,True,
WNT3A,LRP6,True,
WNT3A,FZD2,True,
WNT3A,FZD3,True,
WNT3A,FZD1,True,
WNT3A,FZD8,True,
WNT3A,FZD5,True,
WNT3A,APCDD1,True,
WNT3A,FZD7,True,
