compartment,collection,set,discovery_nes,held_out_nes,discovery_fdr,held_out_fdr,replicates,discovery_eligible,discovery_Direction,discovery_Correlation,discovery_PValue,discovery_FDR_global,discovery_FDR_original_family,discovery_NGenes,discovery_n_first,discovery_n_second,discovery_residual_df,discovery_fixed001_eligible,discovery_fixed001_Direction,discovery_fixed001_PValue,discovery_fixed001_FDR_global,discovery_lodo_omissions,discovery_lodo_direction_reversals,discovery_lodo_min_p,discovery_lodo_max_p,discovery_lodo_max_FDR_candidate_family,discovery_lodo_below_floor_omissions,discovery_lodo_worst_donor,validation_eligible,validation_Direction,validation_Correlation,validation_PValue,validation_FDR_global,validation_FDR_original_family,validation_NGenes,validation_n_first,validation_n_second,validation_residual_df,validation_fixed001_eligible,validation_fixed001_Direction,validation_fixed001_PValue,validation_fixed001_FDR_global,validation_lodo_omissions,validation_lodo_direction_reversals,validation_lodo_min_p,validation_lodo_max_p,validation_lodo_max_FDR_candidate_family,validation_lodo_below_floor_omissions,validation_lodo_worst_donor,corrected_replicated,fixed001_replicated
AT2,hallmark,HALLMARK_COAGULATION,2.103492482709297,2.1627224959465967,0.0036925917378259,0.0,True,True,Up,0.138255708325833,0.13884054929149,0.98466876614658,0.986412799076232,72,3,10,11,True,Up,6.18135248978373e-05,0.0040434439712492,13,0,0.0712255329330529,0.579394063205513,0.651818321106202,3,158I,True,Up,0.0482107255985005,0.0144878664786077,0.298951448799952,0.043463599435823105,85.0,8.0,6.0,12.0,True,Up,2.33413132982369e-06,5.92869357775218e-05,14.0,0.0,0.0051139289696488,0.0268926857013416,0.0806780571040248,0.0,VUILD61,False,True
AT2,hallmark,HALLMARK_ANGIOGENESIS,2.0766131551622053,1.3844205022754392,0.0018462958689129,0.0368561278863232,True,True,Up,0.0713375498225911,0.101756633131761,0.98466876614658,0.986412799076232,22,3,10,11,True,Up,0.0103492033085515,0.17717367925803,13,0,0.0379898521305598,0.350200901289842,0.555105153293542,3,022I,True,Up,0.0842097450948278,0.150820838191703,0.611537435012147,0.2262312572875545,24.0,8.0,6.0,12.0,True,Up,0.0177930194103496,0.0821713987314329,14.0,0.0,0.103534598158741,0.194473839255794,0.316859258581878,0.0,THD0001,False,False
AT2,hallmark,HALLMARK_MYOGENESIS,1.7102297558161463,1.9162400083911049,0.0289253019463035,0.0004440497335701,True,True,Up,0.0106360421629204,0.0210512944640644,0.98466876614658,0.986412799076232,89,3,10,11,True,Up,0.0063624820839121,0.131429283904906,13,0,0.006859697956108,0.13112774077096,0.495004741391302,3,158I,True,Up,0.012552417988843,0.0063022805454454,0.291653744849021,0.043463599435823105,107.0,8.0,6.0,12.0,True,Up,0.0004451086781408,0.0051389820112621,14.0,0.0,0.0041784708983988,0.010669800955569,0.0673366792873661,0.0,VUHD071,False,False
AT2,hallmark,HALLMARK_P53_PATHWAY,1.6790647604993283,2.1272548553317305,0.0272328640664666,0.0,True,True,Up,0.0583911090663793,0.327027332980488,0.995792328488876,0.986412799076232,161,3,10,11,True,Up,0.0412007985060544,0.352155273194722,13,0,0.142687858989515,0.523471136939968,0.584199563876683,3,225I,True,Up,0.0169757574887602,0.0614890210065046,0.440585146653891,0.13835029726463535,176.0,8.0,6.0,12.0,True,Up,0.0132784703983375,0.0648602207918794,14.0,0.0,0.034754203942776,0.0923753036136409,0.191898011364713,0.0,VUHD071,False,False
AT2,hallmark,HALLMARK_ANDROGEN_RESPONSE,1.6772478621458242,1.41155843840157,0.0217862912531733,0.0284191829484902,True,True,Up,0.0353838210781366,0.243180308683581,0.985010367951267,0.986412799076232,90,3,10,11,True,Up,0.0679925265012104,0.437738033616845,13,0,0.146240720987157,0.606891934487926,0.606891934487926,3,022I,True,Up,0.0758622013405708,0.657365007785238,0.924390900960435,0.657365007785238,91.0,8.0,6.0,12.0,True,Up,0.356632892968265,0.534683053030211,14.0,0.0,0.515864526019291,0.852212232637637,0.852212232637637,0.0,VUILD53,False,False
AT2,hallmark,HALLMARK_ESTROGEN_RESPONSE_EARLY,1.6585534479164346,1.305786372755626,0.020616970536195,0.060588119202684,False,True,Up,0.0095631488777453,0.251073586994525,0.987296879796168,0.986412799076232,143,3,10,11,True,Up,0.231725317990139,0.69347449724414,13,0,0.0947339308932116,0.431748452561644,0.555105153293542,3,022I,True,Up,0.0273273585211623,0.615611108404632,0.914416500203372,0.657365007785238,159.0,8.0,6.0,12.0,True,Up,0.459874499955866,0.608375640566615,14.0,0.0,0.442722842578196,0.829893583994853,0.845536364113253,0.0,VUILD64,False,False
AT2,hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,1.624384181654988,2.619698990898998,0.0261118987174837,0.0,True,True,Up,0.120923816386962,0.295499778151155,0.991237778555926,0.986412799076232,100,3,10,11,True,Up,0.005133380576835,0.118773873302884,13,0,0.131492592173138,0.506235478724746,0.56951491356534,3,022I,True,Up,0.0896494077403203,0.0097165445656184,0.291653744849021,0.043463599435823105,120.0,8.0,6.0,12.0,True,Up,1.5827863742262399e-12,4.02027739053464e-10,14.0,0.0,0.005706096093194,0.0164147685475925,0.0673366792873661,0.0,VUILD59,False,False
AT2,hallmark,HALLMARK_COMPLEMENT,1.5992855930528307,1.511430825317968,0.0300023078698361,0.0156897572528123,True,True,Up,0.035359713765628,0.345401048286002,0.996828503415802,0.986412799076232,133,3,10,11,True,Up,0.123938787088391,0.55207201629915,13,0,0.160659792934914,0.652205677124983,0.652205677124983,3,158I,True,Up,0.0199553945588054,0.200553099681953,0.6460680377444,0.2578539853053682,137.0,8.0,6.0,12.0,True,Up,0.0895900728791231,0.244196225764662,14.0,0.0,0.111851885626606,0.300044725527074,0.385771789963381,0.0,THD0001,False,False
AT2,hallmark,HALLMARK_ALLOGRAFT_REJECTION,1.5411581006415227,1.7788242653680153,0.0432853809267379,0.0017761989342806,True,True,Up,0.0529480148212652,0.300442486029117,0.991237778555926,0.986412799076232,96,3,10,11,True,Up,0.0564083776702337,0.400911856587167,13,0,0.177555943710211,0.433600568225814,0.555105153293542,3,396C,True,Up,0.0338817914417783,0.13487145704689,0.570955834831833,0.2262312572875545,103.0,8.0,6.0,12.0,True,Up,0.0173962854816543,0.0818269724507445,14.0,0.0,0.0764146113865233,0.211239505721252,0.316859258581878,0.0,THD0001,False,False
fibroblasts,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB,-2.398547734023584,2.4837975143205915,0.0,0.0,False,True,Down,0.17499739772248,0.1191611054173,0.98466876614658,0.6000732113726417,183,18,4,20,True,Down,2.96939956992218e-08,6.44910173781221e-06,22,0,0.0353103230692763,0.291963538897039,0.31850567879677,0,192C,True,Up,0.255468827420098,0.125021204186552,0.557112032690952,0.3236782716244425,166.0,7.0,3.0,8.0,True,Up,5.764080651491839e-12,7.32038242739463e-10,10.0,0.0,0.081246942035995,0.280199126100158,0.805572487537954,3.0,VUHD65,False,False
fibroblasts,hallmark,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-2.3691419576731243,-1.3196295867840877,0.0,0.0985337243401759,False,True,Down,0.0380979961286605,0.0079239895536493,0.98466876614658,0.254268528668645,45,18,4,20,True,Down,5.86432248024532e-05,0.0039331788179215,22,0,0.0018762386254922,0.0193358431118423,0.0370605255274383,0,192C,True,Down,0.0443026775733535,0.187171525341796,0.6460680377444,0.3236782716244425,42.0,7.0,3.0,8.0,True,Down,0.0416671542555697,0.137447495856035,10.0,0.0,0.0719662953311566,0.367313578344068,0.832090123086954,3.0,VUHD65,False,False
fibroblasts,hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,2.095014883436121,1.6177028479841569,0.0,0.0040357004268529,True,True,Up,0.0652363420367812,0.0537727053230195,0.98466876614658,0.4574979488474101,190,18,4,20,True,Up,1.12022244273967e-05,0.0010322606283228,22,0,0.0296622511659702,0.097897583096605,0.106797363378115,0,098C,True,Up,0.0312195377166799,0.215785514416295,0.6460680377444,0.3236782716244425,174.0,7.0,3.0,8.0,True,Up,0.0399592949670352,0.136621132138711,10.0,0.0,0.141635059775936,0.384383566992421,0.847055950623621,3.0,VUHD65,False,False
fibroblasts,hallmark,HALLMARK_INFLAMMATORY_RESPONSE,-1.9845844306233305,1.7360188269571484,0.0011351909184726,0.0027939464493597,False,True,Down,0.062260673088748,0.087375601384057,0.98466876614658,0.6000732113726417,144,18,4,20,True,Down,0.0002915806885644,0.0138519046627344,22,0,0.0232195130962659,0.309657675191315,0.323121052373546,0,192C,True,Up,0.0860621022691338,0.171928374410063,0.642203045590531,0.3236782716244425,105.0,7.0,3.0,8.0,True,Up,0.0009467971682637,0.0089069066940367,10.0,0.0,0.115890208165286,0.40419821402127,0.832090123086954,3.0,VUHD65,False,False
fibroblasts,hallmark,HALLMARK_XENOBIOTIC_METABOLISM,-1.8760214081779611,-1.2161553662140352,0.0025541795665634,0.1049853372434017,False,True,Down,0.0204526368355495,0.0101707411467458,0.98466876614658,0.254268528668645,147,18,4,20,True,Down,0.0003076656186642,0.0143626985065437,22,0,0.0009978728059578,0.0207447488332899,0.0370605255274383,0,192C,True,Down,0.007416944336052,0.348714828078685,0.752511849463317,0.418457793694422,134.0,7.0,3.0,8.0,True,Down,0.357858736280063,0.534683053030211,10.0,0.0,0.239667797839935,0.556231388884453,0.985456011234368,3.0,VUHD66,False,False
fibroblasts,hallmark,HALLMARK_APICAL_JUNCTION,1.734727485072723,1.2244291700544698,0.0057877813504823,0.1287543655413271,False,True,Up,0.010773257967317,0.0548997538616892,0.98466876614658,0.4574979488474101,155,18,4,20,True,Up,0.0370000879602525,0.333409806220065,22,0,0.0265555107357919,0.123491003508572,0.128860177574162,0,098C,True,Up,0.010297647309301,0.450369157261687,0.831526932534085,0.450369157261687,121.0,7.0,3.0,8.0,True,Up,0.423788268596692,0.576947089415473,10.0,0.0,0.201396554377072,0.57652348026515,0.985456011234368,3.0,VUHD67,False,False
fibroblasts,gobp,GOBP_CYTOPLASMIC_TRANSLATION,-2.3048926688447744,-2.342965087630847,0.0042218605025192,0.0,True,True,Down,0.208621852124612,0.137860961337576,0.98466876614658,0.8116042750081883,151,18,4,20,True,Down,2.98203251064262e-08,6.44910173781221e-06,22,0,0.0345577423917206,0.361380130630578,0.361380130630578,0,192C,True,Down,0.287677193918803,0.449931057617397,0.831526932534085,0.971821522370965,150.0,7.0,3.0,8.0,True,Down,0.0008887357115654,0.0086822642591395,10.0,0.0,0.251018191353106,0.828550332358761,0.866211711102341,3.0,VUHD65,False,True
